FilePath,Category,RiskScore,LastModified,FileSize_KB,LineCount,Recommendation,ImpactLevel,Justification
CODE_OF_CONDUCT.md,CRITICAL,0,2026-01-12 12:05:55 +0500,2.45,61,Keep,High,Core file
codecov.yml,CRITICAL,0,2026-01-13 13:07:54 +0500,0.64,41,Keep,High,Core file
openapi-spec.json,CRITICAL,0,2026-02-04 17:49:04 +0500,73.65,2267,Keep,High,Core file
docker-compose.observability.yml,CRITICAL,0,2026-01-05 14:01:56 +0500,1.14,53,Keep,High,Core file
bundlesize.config.json,CRITICAL,0,2026-01-05 14:01:56 +0500,0.16,10,Keep,High,Core file
CHANGELOG.md,CRITICAL,0,2026-02-05 23:25:04 +0500,2.11,49,Keep,High,Core file
renovate.json,CRITICAL,0,2026-01-01 14:45:37 +0500,0.55,21,Keep,High,Core file
tsconfig.base.json,CRITICAL,0,2026-01-09 19:02:30 +0500,1.17,48,Keep,High,Core file
.pre-commit-config.yaml,CRITICAL,0,2025-12-22 20:58:04 +0500,0.1,5,Keep,High,Core file
stryker.config.json,CRITICAL,0,2026-01-12 15:34:43 +0500,0.76,32,Keep,High,Core file
FULL_SYSTEM_CONTEXT.json,CRITICAL,0,2026-02-02 19:21:44 +0500,4.12,179,Keep,High,Core file
.markdown-link-check.json,CRITICAL,0,2026-01-11 01:05:18 +0500,0.28,18,Keep,High,Core file
cloudbuild.yaml,CRITICAL,0,2026-01-04 23:51:09 +0500,3.21,128,Keep,High,Core file
turbo.json,CRITICAL,0,2026-01-05 14:01:56 +0500,0.58,31,Keep,High,Core file
.lighthouserc.json,CRITICAL,0,2026-01-05 14:01:56 +0500,0.52,20,Keep,High,Core file
README.md,CRITICAL,0,2026-02-05 23:25:04 +0500,15.56,590,Keep,High,Core file
package.json,CRITICAL,0,2026-02-05 17:42:09 +0500,4.25,117,Keep,High,Core file
CONTRIBUTING.md,CRITICAL,0,2026-01-11 13:44:06 +0500,2.94,109,Keep,High,Core file
.audit-ci.json,CRITICAL,0,2026-01-07 17:09:49 +0500,0.17,10,Keep,High,Core file
components.json,CRITICAL,0,2026-02-04 15:13:29 +0500,0.38,19,Keep,High,Core file
tsconfig.json,CRITICAL,0,2025-12-29 23:11:28 +0500,0.34,16,Keep,High,Core file
cloudbuild-staging.yaml,CRITICAL,0,2026-01-08 00:27:46 +0500,1.12,42,Keep,High,Core file
docker-compose.test.yml,CRITICAL,0,2026-01-05 18:30:08 +0500,0.47,22,Keep,High,Core file
.env.example,CRITICAL,0,2026-02-02 13:17:48 +0500,0.65,23,Keep,High,Core file
AGENTS.md,CRITICAL,0,2026-02-04 15:13:29 +0500,4.52,102,Keep,High,Core file
biome.json,CRITICAL,0,2026-01-12 14:28:41 +0500,1.54,75,Keep,High,Core file
cloudbuild-multiregion.yaml,CRITICAL,0,2026-01-11 13:44:06 +0500,6.19,208,Keep,High,Core file
.markdownlint.json,CRITICAL,0,2026-01-11 13:44:06 +0500,0.18,13,Keep,High,Core file
mcp.json,CRITICAL,0,2026-01-07 22:18:36 +0500,0.5,20,Keep,High,Core file
.config/configstore/update-notifier-npm-check-updates.json,CRITICAL,0,2025-12-25 21:19:32 +0500,0.06,4,Keep,High,Core file
.config/configstore/update-notifier-npm-check.json,CRITICAL,0,2025-12-25 21:19:32 +0500,0.06,4,Keep,High,Core file
.config/.semgrep/semgrep_rules.json,OUTDATED,5,2025-12-15 23:14:54 +0500,1736.71,51879,Update,Medium,Contains references to outdated tools (webpack/heroku)
.config/.semgrep/settings.yml,CRITICAL,0,2025-12-15 23:14:54 +0500,0.09,2,Keep,High,Core file
.config/replit/.semgrep/semgrep_rules.json,OUTDATED,5,2025-12-15 23:14:54 +0500,1736.71,51879,Update,Medium,Contains references to outdated tools (webpack/heroku)
.husky/_/husky.sh,CRITICAL,0,unknown,0.16,9,Keep,High,Core file
artifacts/data/CACHE_PERFORMANCE_ANALYSIS_REPORT.json,CRITICAL,0,2025-12-25 21:19:32 +0500,3.52,106,Keep,High,Core file
artifacts/data/CHUNK_2_FRONTEND_DISPLAY_VERIFICATION.json,CRITICAL,0,2025-12-25 21:19:32 +0500,18.56,451,Keep,High,Core file
artifacts/data/CHUNK_5_SHARED_CONTENT_CONSISTENCY.json,CRITICAL,0,2025-12-25 21:19:32 +0500,16.33,402,Keep,High,Core file
artifacts/data/module-check.json,CRITICAL,0,2025-12-25 21:19:32 +0500,113.65,3902,Keep,High,Core file
artifacts/data/CHUNK_4_DATABASE_CACHE_FRONTEND_PIPELINE.json,CRITICAL,0,2025-12-25 21:19:32 +0500,18.71,461,Keep,High,Core file
artifacts/data/media_response.json,CRITICAL,0,2025-12-25 21:19:32 +0500,28.23,1018,Keep,High,Core file
artifacts/data/CHUNK_1_ADMIN_PANEL_INVENTORY.json,CRITICAL,0,2025-12-25 21:19:32 +0500,14.73,477,Keep,High,Core file
artifacts/data/CHUNK_3_MEDIA_INTEGRITY_STORAGE_AUDIT.json,CRITICAL,0,2025-12-25 21:19:32 +0500,17.83,447,Keep,High,Core file
k8s/argocd/application.yaml,CRITICAL,0,2026-01-13 13:07:54 +0500,0.92,44,Keep,High,Core file
k8s/argocd/base/deployment.yaml,CRITICAL,0,2026-02-02 13:17:48 +0500,1.05,46,Keep,High,Core file
k8s/argocd/base/kustomization.yaml,CRITICAL,0,2026-01-13 13:07:54 +0500,0.18,11,Keep,High,Core file
k8s/argocd/base/service.yaml,CRITICAL,0,2026-02-02 13:17:48 +0500,0.17,12,Keep,High,Core file
k8s/argocd/base/configmap.yaml,CRITICAL,0,2026-01-13 13:07:54 +0500,0.11,7,Keep,High,Core file
server/gcs-service-account-key.json,CRITICAL,0,unknown,2.23,12,Keep,High,Core file
server/package.json,CRITICAL,0,2026-02-04 15:13:29 +0500,3.52,104,Keep,High,Core file
server/tsconfig.json,CRITICAL,0,2026-02-03 18:07:40 +0500,0.61,22,Keep,High,Core file
server/.env.example,CRITICAL,0,2026-02-04 17:49:04 +0500,1.03,31,Keep,High,Core file
server/migrations/meta/0000_snapshot.json,CRITICAL,0,2025-12-29 23:11:28 +0500,138.05,5365,Keep,High,Core file
server/migrations/meta/_journal.json,CRITICAL,0,2025-12-29 23:11:28 +0500,0.49,27,Keep,High,Core file
server/migrations/meta/0001_snapshot.json,CRITICAL,0,2025-12-29 23:11:28 +0500,208.78,7959,Keep,High,Core file
server/migrations/meta/0002_snapshot.json,CRITICAL,0,2025-12-29 23:11:28 +0500,208.07,7936,Keep,High,Core file
server/migrations/optimizations/README.md,CRITICAL,0,2025-12-29 23:11:28 +0500,4.81,177,Keep,High,Core file
server/config/storage-lifecycle-policy.yaml,CRITICAL,0,2025-12-15 23:14:54 +0500,6.56,216,Keep,High,Core file
server/config/storage-lifecycle-policy.json,CRITICAL,0,2026-01-05 18:30:08 +0500,4.89,173,Keep,High,Core file
utils/tsconfig.json,CRITICAL,0,2025-12-25 21:19:32 +0500,0.57,21,Keep,High,Core file
shared/package.json,CRITICAL,0,2026-01-08 23:33:45 +0500,0.34,19,Keep,High,Core file
shared/tsconfig.json,CRITICAL,0,2025-12-25 21:19:32 +0500,0.37,15,Keep,High,Core file
docs/overview.md,CRITICAL,0,2026-02-05 23:25:04 +0500,6.84,192,Keep,High,Core file
docs/index.md,CRITICAL,0,2026-02-03 14:08:48 +0500,1.66,29,Keep,High,Core file
docs/docs-audit-report.md,CRITICAL,0,unknown,3.69,76,Keep,High,Core file
